Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2023-11-06,142.44244384765625,143.12789129340993,142.13258051057477,142.51756353491376,4851400
2023-11-07,141.69125366210938,142.95887503384944,141.4846781151945,142.6583963010225,4840400
2023-11-08,141.1748504638672,142.56452899423343,141.1654515472864,142.11382515447457,5460000
2023-11-09,138.42364501953125,141.31568874098636,138.27340563274012,141.31568874098636,6973600
2023-11-10,138.2639923095703,139.43771041067023,136.75224282224906,139.20296679045023,6930700
2023-11-13,138.62083435058594,138.8743471942006,137.70062886318937,138.2640193931213,5889300
2023-11-14,138.64901733398438,139.4753053849731,138.00112245326946,138.63023382693845,6713600
2023-11-15,139.71942138671875,140.3015810457202,138.28279141506889,138.3579111013296,6729100
2023-11-16,140.94009399414062,141.00581476615514,139.56918476617827,140.37670349988423,6875600
2023-11-17,140.6490020751953,141.5879766955261,139.97295352996358,141.36263195632074,7023300
2023-11-20,141.88893127441406,142.35270413140813,139.64573047965894,139.9959431107392,8851700
2023-11-21,143.0341796875,143.19508194682453,141.60497883654426,142.0687661315527,5916300
2023-11-22,142.75021362304688,143.9049228673315,142.34321374545397,143.51687135350858,4633500
2023-11-24,144.34033203125,144.51069401541693,142.78808248087032,142.78808248087032,3351400
2023-11-27,143.18560791015625,144.16996973550005,142.89219708760152,144.1415616291816,6449700
2023-11-28,143.5168914794922,143.68725346910742,142.76915312324107,143.2991874585139,5909000
2023-11-29,143.97120666503906,144.05638766109163,142.98685923405304,143.23294248121138,5190000
2023-11-30,146.384765625,146.83907870151018,143.79136686364785,144.11317135774453,12481900
2023-12-01,149.9057159423828,149.98143719122245,147.15141509054087,148.0695153744882,10342900
2023-12-04,150.37896728515625,151.4579698383566,149.5460479660711,149.5460479660711,8920300
2023-12-05,150.06661987304688,151.08883508038542,149.75427513394192,150.30324336245806,7268200
2023-12-06,148.23989868164062,150.17075469898776,147.81397923269316,150.03824610504068,6642900
2023-12-07,147.08517456054688,148.20204508729037,146.43210577556744,148.20204508729037,6532400
2023-12-08,146.1575927734375,147.51108662036168,145.60862455405965,147.10408671532664,6254700
2023-12-11,146.76336669921875,147.1608924715162,146.09136400403256,146.23333233615548,6090400
2023-12-12,146.77284240722656,147.00946592479104,145.42880811818935,146.70658088997888,5324400
2023-12-13,147.4542999267578,147.59628269796715,143.64940428987606,145.43827744523176,10764600
2023-12-14,148.4765167236328,148.751008085336,146.7539050658854,148.0979248812837,9240700
2023-12-15,146.85800170898438,148.30613626712756,145.532901540996,147.1703464391027,21727800
2023-12-18,147.123046875,148.0695409856808,146.47942336971298,146.90535727340253,7231400
2023-12-19,148.0884552001953,148.12630860494826,146.64978029959858,146.99051871178327,6651500
2023-12-20,145.0691375732422,148.27775161461648,144.91769506900957,148.16416251526596,7008300
2023-12-21,146.5551300048828,146.82962135730318,145.09753557454368,145.46666766317423,4598600
2023-12-22,147.1419677734375,148.15470887217595,146.72550809083376,146.94319767315747,3798900
2023-12-26,147.78558349609375,147.98435360540768,146.5646125005615,146.70658083410478,4170000
2023-12-27,147.98435974121094,148.14526200668251,147.10411270968532,147.1798339714991,5288100
2023-12-28,148.20204162597656,148.826731171649,147.64361359682385,147.65307333817532,4377500
2023-12-29,148.3534698486328,148.50489790743268,147.63412518933822,148.13576583734533,4313700
2024-01-02,151.41064453125,152.99128775933352,148.40078613709088,148.53329471781788,9622100
2024-01-03,152.3571319580078,152.80198526893568,151.24973577198043,152.04478722209987,8232000
2024-01-04,152.0353546142578,153.31311300661883,151.83658449507948,152.94398087873398,6766600
2024-01-05,152.5085906982422,152.70734636076406,150.93740711113594,151.91229482597043,5602500
2024-01-08,152.88717651367188,153.0102253567128,151.06990974477563,152.48019102107878,6569800
2024-01-09,152.98184204101562,154.54355148861248,152.00695429866187,152.98184204101562,6357000
2024-01-10,153.208984375,153.9188548991701,152.57483510649038,153.1616712272709,4945100
2024-01-11,152.5275115966797,153.52133324557417,152.17731341694048,153.39829883889328,4946000
2024-01-12,153.701171875,153.77689313389197,153.03862891263697,153.18059724658855,4496900
2024-01-16,151.9312286376953,153.56865929697213,151.6094096851682,152.92505027662398,6923200
2024-01-17,151.84603881835938,152.66949849145115,151.3160044426036,151.67567681573226,5072100
2024-01-18,152.5843048095703,152.7357328740921,151.14562987897074,151.43904070956916,5368500
2024-01-19,153.02914428710938,153.25630804828515,151.7040584527984,152.52750361823792,7071300
2024-01-22,153.77687072753906,154.82747957275996,152.70732795976562,153.3320174228378,6824200
